SPAC IPO ,Date of IPO,CUSIP
JAWS Juggernaut Acquisition Corp.,6/17/2021,G50735128
Corner Growth Acquisition Corp. 2,6/16/2021,G2426E112
Rice Acquisition Corp. II,6/15/2021,G75529118
Zimmer Energy Transition Acquisition Corp.,6/15/2021,989570205
"G Squared Ascend II, Inc.",6/14/2021,G42041114
Dila Capital Acquisition Corp.,6/14/2021,254028202
Jaws Hurricane Acquisition Corp.,6/10/2021,47201B202
Logistics Innovation Technologies Corp.,6/10/2021,54141L209
Lakeshore Acquisition I Corp.,6/10/2021,G53521129
Iron Spark I Inc.,6/9/2021,
Summit Healthcare Acquisition Corp.,6/9/2021,G8566R128
Blue Safari Group Acquisition Corp.,6/9/2021,G1195R122
Global Consumer Acquisition Corp.,6/8/2021,37892B207
Colombier Acquisition Corp.,6/8/2021,19533H207
SPK Acquisition Corp.,6/7/2021,848651204
OceanTech Acquisitions I Corp.,5/27/2021,675507206
Post Holdings Partnering Corp.,5/25/2021,737465203
EG Acquisition Corp.,5/25/2021,26846A209
Dynamics Special Purpose Corp.,5/25/2021,
Fifth Wall Acquisition Corp. III,5/24/2021,
Graf Acquisition Corp. IV,5/21/2021,384272209
Angel Pond Holdings Corp.,5/18/2021,G0447J110
Aries I Acquisition Corp.,5/18/2021,G0542N115
Catalyst Partners Acquisition Corp.,5/18/2021,G19550113
Skydeck Acquisition Corp.,5/18/2021,G82220107
"GigInternational1, Inc.",5/18/2021,37518W205
Mountain Crest Acquisition Corp. III,5/17/2021,62402U206
Artisan Acquisition Corp.,5/13/2021,G0509L110
Osiris Acquisition Corp.,5/13/2021,68829A202
Orion Biotech Opportunities Corp.,5/12/2021,G6780C125
B. Riley Principal 250 Merger Corp.,5/7/2021,05602L203
Data Knights Acquisition Corp.,5/7/2021,237699202
Maquia Capital Acquisition Corp.,5/4/2021,56564V200
Valor Latitude Acquisition Corp.,5/3/2021,G9460N114
ION Acquisition Corp. 3 Ltd.,4/29/2021,
"Big Sky Growth Partners, Inc.",4/28/2021,08954L201
TradeUP Global Corp.,4/28/2021,G89877123
TPG Pace Beneficial II Corp.,4/13/2021,
TCV Acquisition Corp.,4/13/2021,
Global SPAC Partners Co.,4/8/2021,G3934K137
Aldel Financial Inc.,4/8/2021,01407X203
TPG Pace Solutions Corp.,4/8/2021,
Tio Tech A,4/7/2021,G8T10C122
Model Performance Acquisition Corp.,4/7/2021,G6246M113
CM Life Sciences III Inc.,4/6/2021,125841205
Panacea Acquisition Corp. II,4/6/2021,
Ace Global Business Acquisition Ltd.,4/5/2021,G0083E128
Nocturne Acquisition Corp.,3/31/2021,G6580S122
two,3/29/2021,
"Landcadia Holdings IV, Inc.",3/24/2021,51477A203
Northern Genesis Acquisition Corp. III,3/24/2021,66516W206
MSD Acquisition Corp.,3/24/2021,G5709C117
Corazon Capital V838 Monoceros Corp.,3/23/2021,G24237110
Khosla Ventures Acquisition Co. II,3/23/2021,
Decarbonization Plus Acquisition Corp. III,3/23/2021,24279D204
Khosla Ventures Acquisition Co. III,3/23/2021,
Disruptive Acquisition Corp. I,3/23/2021,G2770Y110
Newbury Street Acquisition Corp.,3/22/2021,65101L203
ArcLight Clean Transition Corp. II,3/22/2021,G0R21B120
Rocket Internet Growth Opportunities Corp.,3/22/2021,G7613T111
TB SA Acquisition Corp.,3/22/2021,G8657L113
Virgin Group Acquisition Corp. II,3/22/2021,G9460K110
"Supernova Partners Acquisition Co. III, Ltd.",3/22/2021,G8T90F110
"Gores Guggenheim, Inc.",3/22/2021,38286Q206
Magnum Opus Acquisition Ltd.,3/22/2021,G5S70A120
Dragoneer Growth Opportunities Corp. III,3/22/2021,
"Lead Edge Growth Opportunities, Ltd.",3/22/2021,G54085124
NextGen Acquisition Corp. II,3/22/2021,G65317110
Glass Houses Acquisition Corp.,3/22/2021,37714P202
LDH Growth Corp. I,3/18/2021,G54094118
Longview Acquisition Corp. II,3/18/2021,54319Q204
Levere Holdings Corp.,3/18/2021,G5462L114
Glenfarne Merger Corp.,3/18/2021,378579205
AF Acquisition Corp.,3/18/2021,001040203
BYTE Acquisition Corp.,3/18/2021,G1R25Q121
American Acquisition Opportunity Inc.,3/17/2021,02369M201
Forum Merger IV Corp.,3/17/2021,349875203
GX Acquisition Corp. II,3/17/2021,36260F204
Revolution Healthcare Acquisition Corp.,3/17/2021,76155Y207
Research Alliance Corp. II,3/17/2021,
Accelerate Acquisition Corp.,3/17/2021,00439D201
KKR Acquisition Holdings I Corp.,3/16/2021,48253T208
Athena Technology Acquisition Corp.,3/16/2021,04687A208
Tech & Energy Transition Corp.,3/16/2021,87823R201
Golden Arrow Merger Corp.,3/16/2021,380799205
Kadem Sustainable Impact Corp.,3/16/2021,48284E204
Build Acquisition Corp.,3/16/2021,12008J204
Reinvent Technology Partners Y,3/15/2021,G7484L114
European Biotech Acquisition Corp.,3/15/2021,G3167F110
Fortress Value Acquisition Corp. IV,3/15/2021,34964K207
Plum Acquisition Corp. I,3/15/2021,G7134L100
Waldencast Acquisition Corp.,3/15/2021,G9460C126
FAST Acquisition Corp. II,3/15/2021,311874200
"Gores Technology Partners II, Inc.",3/11/2021,38287L206
"Gores Technology Partners, Inc.",3/11/2021,382870202
Ross Acquisition Corp. II,3/11/2021,G7641C122
FTAC Parnassus Acquisition Corp.,3/11/2021,30319B207
Stratim Cloud Acquisition Corp.,3/11/2021,86309R206
CF Acquisition Corp. VIII,3/11/2021,12520C208
Silver Spike Acquisition Corp. II,3/10/2021,G8201H121
G&P Acquisition Corp.,3/10/2021,36146G202
Archimedes Tech SPAC Partners Co.,3/10/2021,039562202
Frontier Acquisition Corp.,3/10/2021,G36826116
Pine Technology Acquisition Corp.,3/10/2021,722850203
L Catterton Asia Acquisition Corp.,3/10/2021,G5346G109
Agile Growth Corp.,3/9/2021,G01202129
Digital Transformation Opportunities Corp.,3/9/2021,25401K206
Colonnade Acquisition Corp. II,3/9/2021,G2284B127
Vector Acquisition Corp. II,3/9/2021,
Sandbridge X2 Corp.,3/9/2021,799792205
Forest Road Acquisition Corp. II,3/9/2021,34619V202
ESM Acquisition Corp.,3/9/2021,G3195H120
PWP Forward Acquisition Corp. I,3/9/2021,74709Q200
Peridot Acquisition Corp. II,3/8/2021,G7008B113
SVF Investment Corp. 2,3/8/2021,
SVF Investment Corp. 3,3/8/2021,
Independence Holdings Corp.,3/8/2021,G4761A119
VPC Impact Acquisition Holdings II,3/4/2021,G9460L100
Tribe Capital Growth Corp. I,3/4/2021,89601Y200
"VPC Impact Acquisition Holdings III, Inc.",3/4/2021,91835J207
