,Unnamed: 0,conm,tic,CUSIP,Date of IPO,IS_SPAC,matched_name
2260,1430,EL POLLO ASADO INC.,EPAI,28382910,,False,"('MARATHON DIGITAL HOLDNGS INC', 86)"
2261,1431,UNITED HEALTHCARE,UNIH,910581107,,False,"('IKANG HEALTHCARE GROUP -ADR', 86)"
2262,1432,"MEDINET, INC.",,58489520,,False,"('MARATHON DIGITAL HOLDNGS INC', 86)"
2263,1433,COMSTOCK GROUP INC.,CSTK,20568310,,False,"('MARATHON DIGITAL HOLDNGS INC', 86)"
2264,1434,BALTIMORE BANCORP,BBCM,59029108,,False,"('RBB BANCORP', 86)"
2265,1435,"INFRASONICS, INC.",,45683420,,False,"('MARATHON DIGITAL HOLDNGS INC', 86)"
2266,1436,PICTEL CORP.,PCTL,71989510,,False,"('PROVIDIAN FINANCIAL CORP', 86)"
2267,1437,JUMPING-JACKS SHOES,JJS,48139010,,False,"('SYS', 60)"
2268,1438,AVIALL INC.,AVI,5366010,,False,"('SHUTTERSTOCK INC', 86)"
2269,1439,OCE-VAN DER GRINTEN,OCENY,67462720,,False,"('ANTERIX INC', 58)"
2270,1440,RESTAURANT MGT.SVC,RESM,76126110,,False,"('GARDEN FRESH RESTAURANT CORP', 86)"
2271,1441,PREFERRED S & L,PSLA,74040410,,False,"('EUNITS 2 YR U S MKT PARTN II', 86)"
2272,1442,COMMUNICATIONS SCIENCE,,20338410,,False,"('WJ COMMUNICATIONS INC', 84)"
2273,1443,BAY PACIFIC HEALTH,BPHC,7251710,,False,"('SILVER BAY REALTY TRUST CORP', 86)"
2274,1444,INST. CLINICAL PHARMACOLOGY,ICPYY,45776C20,,False,"('AXCAN PHARMA INC', 64)"
2275,1445,"MEDCO RESEARCH, INC.",MRE,58405910,,False,"('QUALYS INC', 86)"
2276,1446,QMAX TECHNOLOGY,QMAX,74726510,,False,"('MONTAGE TECHNOLOGY GROUP LTD', 86)"
2277,1447,INT'L FILM PRODUCT,IFPI,45950310,,False,"('FIRST TRUST INT DUR PFD INCM', 86)"
2278,1448,"GV MEDICAL, INC.",GVMI,36237210,,False,"('MARATHON DIGITAL HOLDNGS INC', 86)"
2279,1449,MARKETING SYSTEMS,MASY,57060810,,False,"('SYS', 90)"
2280,1450,MCGRATH RENTCORP,MGRC,58058910,,False,"('CLARENT CORP', 71)"
2281,1451,GENERAL AERO PDTS.,GECO,36875010,,False,"('NATIONAL GENERAL HOLDINGS CP', 86)"
2282,1452,LIEBERMAN ENTRPRSE.,LMAN,53173110,,False,"('GEORGE FOREMAN ENTERPRISES', 68)"
2283,1453,ARLEY MERCHANDISE,ARY,4133520,,False,"('MERRILL MERCHANTS BANCSHARES', 65)"
2284,1454,SOFTWARE PUBLISHING,SPCO,83403210,,False,"('TRIBUNE PUBLISHING CO', 71)"
2285,1455,SYMBOLICS INC.,SMBX,87151210,,False,"('MARATHON DIGITAL HOLDNGS INC', 86)"
2286,1456,POWER RECOVERY SYS.,PWER,73890210,,False,"('SYS', 90)"
2287,1457,AUTOMATED SYSTEMS,ASII,5288710,,False,"('SYS', 90)"
2288,1458,ROBERT BRUCE INDUS.,BRUCA,11666210,,False,"('VERTRUE INC', 66)"
2289,1459,PATHFINDER COMPUTER,,70320020,,False,"('PATHFINDER BANCORP INC', 68)"
2290,1460,AUDEC CORP.,ADUC,5068710,,False,"('PROVIDIAN FINANCIAL CORP', 86)"
2291,1461,NANOMETRICS INC.,NANO,63007710,,False,"('MARATHON DIGITAL HOLDNGS INC', 86)"
2292,1462,FIRST COLONIAL BANK,FCOLA,31972110,,False,"('OPUS BANK', 86)"
2293,1463,BRITISH TELECOMMUNICATIONS,BTY,11102120,,False,"('FUSION TELECOMMUNICATIONS', 80)"
2294,1464,CARDIOPULMONARY,HART,14159810,,False,"('CARDIOVASCULAR SYSTEMS INC', 60)"
2295,1465,KING WORLD PRDCTNS.,KING,49566710,,False,"('WORLD SURVEILLANCE GROUP INC', 86)"
2296,1466,NATIONAL BUSINESS SYSTEMS,NBSIF,63508710,,False,"('CASA SYSTEMS INC', 86)"
