SPAC IPO ,Date of IPO,CUSIP,MergeKey,ClosestMatch
Enterprise 4.0 Technology Acquisition Corp.,10/19/2021,G3137C122,,
Worldwide Webb Acquisition Corp.,10/19/2021,G97775129,Worldwide Webb Acquisition Cor,"('Worldwide Webb Acquisition Cor', 98, 14905)"
ESGEN Acquisition Corp.,10/19/2021,G3R95N129,Esgen Acquisition Corp,"('Esgen Acquisition Corp', 100, 14901)"
Fintech Ecosystem Development Corp.,10/18/2021,318136207,Fintech Ecosystem Development,"('Fintech Ecosystem Development', 95, 14896)"
Blockchain Moon Acquisition Corp.,10/18/2021,09370F208,Blockchain Moon Acquisition Co,"('Blockchain Moon Acquisition Co', 97, 14894)"
Sportsmap Tech Acquisition Corp.,10/18/2021,84921J207,Sportsmap Tech Acquisition Cor,"('Sportsmap Tech Acquisition Cor', 98, 14897)"
Achari Ventures Holdings Corp. I,10/15/2021,00444X200,Achari Ventures Holdings Corp.,"('Achari Ventures Holdings Corp.', 95, 14886)"
Compass Digital Acquisition Corp.,10/15/2021,G2476C115,Compass Digital Acquisition Co,"('Compass Digital Acquisition Co', 97, 14887)"
Founder SPAC,10/14/2021,G3661E122,Founder SPAC,"('Founder SPAC', 100, 14888)"
Sanaby Health Acquisition Corp. I,10/14/2021,79956P201,Sanaby Health Acquisition Corp,"('Sanaby Health Acquisition Corp', 95, 14892)"
PepperLime Health Acquisition Corp.,10/14/2021,G70021129,PepperLime Health Acquisition,"('PepperLime Health Acquisition', 95, 14891)"
Tristar Acquisition I Corp.,10/13/2021,G9074V122,Tristar Acquisition I Corp,"('Tristar Acquisition I Corp', 100, 14885)"
Black Mountain Acquisition Corp.,10/13/2021,09216A207,Black Mountain Acquisition Cor,"('Black Mountain Acquisition Cor', 98, 14880)"
Rose Hill Acquisition Corp.,10/13/2021,G7637J115,Rose Hill Acquisition Corp,"('Rose Hill Acquisition Corp', 100, 14884)"
Fat Projects Acquisition Corp.,10/12/2021,G3400W128,Fat Projects Acquisition Corp,"('Fat Projects Acquisition Corp', 100, 14878)"
Gesher I Acquisition Corp.,10/12/2021,G38537117,Gesher I Acquisition Corp,"('Gesher I Acquisition Corp', 100, 14875)"
Learn CW Investment Corp.,10/8/2021,G54157121,Learn CW Investment Corp,"('Learn CW Investment Corp', 100, 14871)"
Schultze Special Purpose Acquisition Corp. II,10/7/2021,808212203,Schultze Special Purpose Acq,"('Schultze Special Purpose Acq', 90, 13378)"
Maxpro Capital Acquisition Corp.,10/7/2021,57778T205,Maxpro Capital Acquisition Cor,"('Maxpro Capital Acquisition Cor', 98, 14872)"
Hawks Acquisition Corp.,10/7/2021,42032P207,Hawks Acquisition Corp,"('Hawks Acquisition Corp', 100, 14869)"
IX Acquisition Corp.,10/7/2021,G5000D129,IX Acquisition Corp,"('IX Acquisition Corp', 100, 14865)"
Avalon Acquisition Inc.,10/5/2021,5.34E+203,Avalon Acquisition Inc.,"('Avalon Acquisition Inc.', 100, 14860)"
Parsec Capital Acquisitions Corp.,10/5/2021,70184A207,Parsec Capital Acquisitions Co,"('Parsec Capital Acquisitions Co', 97, 14862)"
Enphys Acquisition Corp.,10/5/2021,G3167L125,Enphys Acquisition Corp,"('Enphys Acquisition Corp', 100, 14861)"
Phoenix Biotech Acquisition Corp.,10/5/2021,71902K204,Phoenix Biotech Acquisition Co,"('Phoenix Biotech Acquisition Co', 97, 14863)"
Mount Rainier Acquisition Corp.,10/4/2021,623006202,Mount Rainier Acquisition Corp,"('Mount Rainier Acquisition Corp', 100, 14859)"
Crixus BH3 Acquisition Corp.,10/4/2021,22677T201,Crixus BH3 Acquisition Co,"('Crixus BH3 Acquisition Co', 96, 14858)"
"dMY Technology Group, Inc. VI",9/30/2021,233247204,dMY Technology Group Inc VI,"('dMY Technology Group Inc VI', 96, 14857)"
Monterey Bio Acquisition Corp.,9/30/2021,61240F207,Monterey Bio Acquisition Corp,"('Monterey Bio Acquisition Corp', 100, 14855)"
Marblegate Acquisition Corp.,9/30/2021,56608A204,Marblegate Acquisition Corp,"('Marblegate Acquisition Corp', 100, 14854)"
Artemis Strategic Investment Corp.,9/29/2021,04303A202,Artemis Strategic Investment C,"('Artemis Strategic Investment C', 95, 14849)"
Home Plate Acquisition Corp.,9/29/2021,43734R202,Home Plate Acquisition Corp,"('Home Plate Acquisition Corp', 100, 14850)"
Hennessy Capital Investment Corp. VI,9/28/2021,42600H207,Hennessy Capital Investment VI,"('Hennessy Capital Investment VI', 95, 14846)"
MELI Kaszek Pioneer Corp.,9/28/2021,G5S74L106,MELI Kaszek Pioneer Corp,"('MELI Kaszek Pioneer Corp', 100, 14847)"
Parabellum Acquisition Corp.,9/27/2021,69901P208,Parabellum Acquisition Corp,"('Parabellum Acquisition Corp', 100, 14845)"
Berenson Acquisition Corp. I,9/27/2021,83690206,Berenson Acquisition Corp I,"('Berenson Acquisition Corp I', 98, 14843)"
"GigCapital5, Inc.",9/23/2021,37519U208,GigCapital5 Inc,"('GigCapital5 Inc', 97, 14841)"
Direct Selling Acquisition Corp.,9/23/2021,25460L202,Direct Selling Acquisition,"('Direct Selling Acquisition', 95, 14840)"
Live Oak Crestview Climate Acquisition Corp.,9/22/2021,538086208,Live Oak Crestview Climate Acq,"('Live Oak Crestview Climate Acq', 88, 14833)"
Inflection Point Acquisition Corp.,9/21/2021,G47874105,Inflection Point Acquisition,"('Inflection Point Acquisition', 95, 14829)"
Argus Capital Corp.,9/21/2021,04026L204,Argus Capital Corp,"('Argus Capital Corp', 100, 14827)"
HHG Capital Corp.,9/20/2021,G4R23P137,HHG Capital Corp,"('HHG Capital Corp', 100, 14825)"
SOAR Technology Acquisition Corp.,9/15/2021,G82472104,SOAR Technology Acquisition Co,"('SOAR Technology Acquisition Co', 97, 14824)"
Sierra Lake Acquisition Corp.,9/14/2021,826332207,Sierra Lake Acquisition Corp,"('Sierra Lake Acquisition Corp', 100, 14818)"
"CIIG Capital Partners II, Inc.",9/14/2021,12561U208,CIIG Capital Partners II Inc,"('CIIG Capital Partners II Inc', 98, 14809)"
Aesther Healthcare Acquisition Corp.,9/14/2021,00809L205,Healthcare Acquisition Corp,"('Healthcare Acquisition Corp', 95, 10686)"
WinVest Acquisition Corp.,9/14/2021,97655B208,WinVest Acquisition Corp,"('WinVest Acquisition Corp', 100, 14821)"
Endurance Acquisition Corp.,9/14/2021,G3041W123,Endurance Acquisition Corp,"('Endurance Acquisition Corp', 100, 14813)"
Pacifico Acquisition Corp.,9/13/2021,69512X202,Pacifico Acquisition Corp,"('Pacifico Acquisition Corp', 100, 14806)"
