,offer date,IPO name,ticker,CUSIP,Rollup,VC,Dual,Internet,Post-issue shares,CRSP perm,Founding,Unnamed: 11,Unnamed: 12,Unnamed: 13,formatted offer date
14288,2021-02-17,Virpax Pharmaceuticals Inc,VRPX,928251107,0,0,0,0,.,20644,2017,,,,02/17/2021
14289,2021-02-18,FinServ Acquisition Corp II,FSRXU,31809Y202,0,0,1,0,33855000,21049,2020,,,,02/18/2021
14290,2021-02-18,Kismet Acquisition II  Corp,KAIIU,G52807123,0,0,1,0,25500000,21068,2020,,,,02/18/2021
14291,2021-02-18,Kismet Acquisition Three Corp,KIIIU,G5276C128,0,0,1,0,31750000,21070,2020,,,,02/18/2021
14292,2021-02-19,Alpha Capital Acq Co,ASPCU,G0316P114,0,0,1,0,25000000,21024,2020,,,,02/19/2021
14293,2021-02-19,B Riley Principal 150 Merger,BRPMU,05601V202,0,0,1,0,19225000,21028,2020,,,,02/19/2021
14294,2021-02-19,CF Acquisition Corp VI,CFVIU,12521J202,0,0,1,0,30700000,21029,2020,,,,02/19/2021
14295,2021-02-19,Figure Acq Corp I,FACA.,302438205,0,0,1,0,35714285,20924,2020,,,,02/19/2021
14296,2021-02-19,Simon Ppty Grp Acq Hldg Inc,SPGS.,82880R202,0,0,1,0,37500000,20964,2020,,,,02/19/2021
14297,2021-02-19,Tailwind Intl Acq Corp,TWNI.,G8662F127,0,0,1,0,37500000,21003,2020,,,,02/19/2021
14298,2021-02-23,Arctos Nstar Acq Corp,ANAC.,G0477L118,0,0,1,0,34375000,20982,2020,,,,02/23/2021
14299,2021-02-23,CM Life Sciences II Inc,CMIIU,125842203,0,0,1,0,30000000,.,2020,,,,02/23/2021
14300,2021-02-23,FTAC Athena Acquisition Corp,FTAAU,G37283127,0,0,1,0,30213333,21050,2020,,,,02/23/2021
14301,2021-02-23,Gores Holdings VII Inc,GSEVU,38286T200,0,0,1,0,60000000,21057,2020,,,,02/23/2021
14302,2021-02-23,Slam Corp,SLAMU,G8210L113,0,0,1,0,62500000,21097,2020,,,,02/23/2021
14303,2021-02-23,Velocity Acq Corp,VELOU,92259E203,0,0,1,0,25000000,21113,2020,,,,02/23/2021
14304,2021-02-24,BOA Acquisition Corp,BOAS.,05601A208,0,0,1,0,25000000,20907,2020,,,,02/24/2021
14305,2021-02-24,Cartesian Growth Corp,GLBLU,G19276123,0,0,1,0,38625000,21056,2020,,,,02/24/2021
14306,2021-02-24,Colicity Inc,COLIU,194170205,0,0,1,0,37500000,21031,2020,,,,02/24/2021
14307,2021-02-24,Hudson Executive Invest Corp,HIIIU,44376L206,0,0,1,0,65625000,21059,2020,,,,02/24/2021
14308,2021-02-24,RiverNorth Flexible Muni II,RFMZ,76883Y107,0,0,0,0,.,20550,2021,,,,02/24/2021
14309,2021-02-24,Soaring Eagle Acquisition Corp,SRNGU,G8354H100,0,0,1,0,187500000,.,2020,,,,02/24/2021
14310,2021-02-25,EJF Acquisition Corp,EJFAU,G2955B117,0,0,1,0,31250000,21038,2020,,,,02/25/2021
14311,2021-02-25,Flame Acquisition Corp,FLME.,33850F207,0,0,1,0,31250000,20930,2020,,,,02/25/2021
14312,2021-02-25,Gores Holdings VIII Inc,GIIXU,382863207,0,0,1,0,37500000,21054,2020,,,,02/25/2021
14313,2021-02-25,Isleworth Healthcare Acq Corp,ISLEU,46468P201,0,0,1,0,22793750,20819,2020,,,,02/25/2021
14314,2021-02-25,USHG Acquisition Corp,HUGS.,91748P209,0,0,1,0,31934500,20974,2020,,,,02/25/2021
14315,2021-02-26,African Gold Acquisition Corp,AGAC.,G0112R116,0,0,1,0,45000000,20738,2020,,,,02/26/2021
14316,2021-02-26,Arya Sciences Acq Corp IV,ARYD,G31659108,0,0,1,0,16710000,20569,2020,,,,02/26/2021
14317,2021-02-26,Austerlitz Acquisition Corp I,AUS.U,G0633D117,0,0,1,0,85714286,20983,2020,,,,02/26/2021
14318,2021-02-26,Austerlitz Acquisition Corp II,ASZ.U,G0633U119,0,0,1,0,171428572,20986,2021,,,,02/26/2021
